order_id,client_type,sku_count,temperature,deadline_hours,priority,volume,status,timestamp,time_window
ORD-20260001,Chain Pharmacy,4,Cool,14.2,Urgent,45,Pending Dispatch,08:30:00,Morning Peak
ORD-20260002,Public Hospital,2,Cold,4.5,Critical,12,Picking in Progress,10:15:00,Morning Peak
ORD-20260003,Independent Pharmacy,1,Ambient,18.0,Standard,67,Completed,14:20:00,Afternoon
ORD-20260004,Primary Healthcare,3,Cool,8.3,Urgent,23,Pending Dispatch,09:45:00,Morning Peak
ORD-20260005,Public Hospital,5,Frozen,6.2,Critical,89,Picking in Progress,11:00:00,Morning Peak
ORD-20260006,Chain Pharmacy,2,Ambient,22.0,Standard,34,Completed,16:30:00,Afternoon
ORD-20260007,Independent Pharmacy,6,Cold,3.8,Critical,56,Picking in Progress,07:20:00,Early
ORD-20260008,Public Hospital,1,Cool,15.0,Urgent,78,Pending Dispatch,13:10:00,Afternoon
ORD-20260009,Primary Healthcare,3,Ambient,20.5,Standard,15,Completed,18:45:00,Evening Peak
ORD-20260010,Chain Pharmacy,4,Frozen,5.5,Critical,92,Exception,10:50:00,Morning Peak
ORD-20260011,Public Hospital,2,Cold,9.0,Urgent,41,Pending Dispatch,08:00:00,Morning Peak
ORD-20260012,Independent Pharmacy,1,Ambient,24.0,Standard,63,Completed,15:25:00,Afternoon
ORD-20260013,Primary Healthcare,5,Cool,7.5,Urgent,28,Picking in Progress,09:15:00,Morning Peak
ORD-20260014,Chain Pharmacy,3,Cold,11.2,Urgent,55,Pending Dispatch,12:40:00,Morning Peak
ORD-20260015,Public Hospital,2,Frozen,4.0,Critical,37,Picking in Progress,06:50:00,Early
ORD-20260016,Independent Pharmacy,4,Ambient,19.0,Standard,84,Completed,17:10:00,Afternoon
ORD-20260017,Primary Healthcare,1,Cool,16.5,Urgent,19,Pending Dispatch,14:00:00,Afternoon
ORD-20260018,Chain Pharmacy,6,Cold,3.2,Critical,71,Picking in Progress,08:45:00,Morning Peak
ORD-20260019,Public Hospital,2,Ambient,21.0,Standard,48,Completed,19:30:00,Evening Peak
ORD-20260020,Independent Pharmacy,3,Frozen,8.0,Urgent,66,Pending Dispatch,11:20:00,Morning Peak
ORD-20260021,Primary Healthcare,1,Cool,13.0,Urgent,25,Completed,10:05:00,Morning Peak
ORD-20260022,Chain Pharmacy,4,Ambient,23.5,Standard,93,Pending Dispatch,20:15:00,Evening Peak
