period,client_category,orders_fulfilled,orders_total,on_time_rate,next_day_rate,temp_compliance_rate,exception_rate
2026-01,Public Hospital,15234,16000,97.2,99.1,99.8,0.3
2026-01,Chain Pharmacy,12890,13500,97.7,99.3,99.6,0.5
2026-01,Independent Pharmacy,8540,9200,96.2,98.5,99.4,0.8
2026-01,Primary Healthcare,6230,6800,95.8,98.0,99.2,1.0
2026-02,Public Hospital,14800,15400,97.5,99.2,99.7,0.4
2026-02,Chain Pharmacy,13200,13800,97.9,99.4,99.5,0.3
2026-02,Independent Pharmacy,8100,8700,96.5,98.7,99.3,0.7
2026-02,Primary Healthcare,6000,6500,96.0,98.2,99.1,0.9
2026-03,Public Hospital,16500,17200,97.8,99.3,99.8,0.2
2026-03,Chain Pharmacy,14100,14700,98.0,99.5,99.7,0.4
2026-03,Independent Pharmacy,9200,9800,97.0,98.8,99.5,0.6
2026-03,Primary Healthcare,7100,7600,96.5,98.5,99.3,0.8
2026-04,Public Hospital,15800,16500,97.0,98.9,99.6,0.5
2026-04,Chain Pharmacy,13600,14200,97.5,99.1,99.4,0.6
2026-04,Independent Pharmacy,8800,9400,96.8,98.6,99.2,0.9
2026-04,Primary Healthcare,6500,7100,95.5,97.8,99.0,1.1
2026-05,Public Hospital,17000,17700,98.0,99.4,99.9,0.2
2026-05,Chain Pharmacy,14500,15100,98.2,99.6,99.8,0.3
2026-05,Independent Pharmacy,9500,10100,97.2,99.0,99.6,0.5
2026-05,Primary Healthcare,7300,7900,96.8,98.8,99.4,0.7
2026-06,Public Hospital,16200,16900,97.5,99.2,99.7,0.3
2026-06,Chain Pharmacy,13900,14500,97.8,99.3,99.5,0.5
2026-06,Independent Pharmacy,9000,9600,96.5,98.5,99.3,0.8
2026-06,Primary Healthcare,6800,7400,96.0,98.2,99.1,1.0
2026-07,Public Hospital,17500,18200,98.2,99.5,99.9,0.2
2026-07,Chain Pharmacy,15000,15600,98.4,99.7,99.8,0.3
2026-07,Independent Pharmacy,9800,10400,97.5,99.1,99.6,0.5
2026-07,Primary Healthcare,7600,8200,97.0,98.9,99.4,0.6
2026-08,Public Hospital,16800,17500,97.8,99.3,99.8,0.3
2026-08,Chain Pharmacy,14300,14900,98.0,99.4,99.6,0.4
2026-08,Independent Pharmacy,9300,9900,96.8,98.7,99.4,0.7
2026-08,Primary Healthcare,7200,7800,96.5,98.5,99.2,0.9
2026-09,Public Hospital,18000,18700,98.5,99.6,99.9,0.1
2026-09,Chain Pharmacy,15500,16100,98.6,99.8,99.9,0.2
2026-09,Independent Pharmacy,10200,10800,97.8,99.2,99.7,0.4
2026-09,Primary Healthcare,7900,8500,97.2,99.0,99.5,0.5
2026-10,Public Hospital,17200,17900,98.0,99.4,99.7,0.3
2026-10,Chain Pharmacy,14800,15400,98.2,99.5,99.6,0.4
2026-10,Independent Pharmacy,9600,10200,97.0,98.9,99.4,0.6
2026-10,Primary Healthcare,7500,8100,96.8,98.6,99.2,0.8
2026-11,Public Hospital,18500,19200,98.8,99.7,99.9,0.1
2026-11,Chain Pharmacy,16000,16600,98.8,99.9,99.9,0.2
2026-11,Independent Pharmacy,10500,11100,98.0,99.4,99.8,0.3
2026-11,Primary Healthcare,8200,8800,97.5,99.2,99.6,0.4
2026-12,Public Hospital,17800,18500,98.3,99.5,99.8,0.2
2026-12,Chain Pharmacy,15300,15900,98.5,99.6,99.7,0.3
2026-12,Independent Pharmacy,9900,10500,97.5,99.1,99.5,0.5
2026-12,Primary Healthcare,7800,8400,97.0,98.8,99.3,0.6
