order_id,client_type,sku_count,temperature,deadline_hours,priority,volume,status,timestamp,time_window
ORD-20260001,Primary Healthcare,8,Ambient,12.2,Standard,109,Completed,13:34:15,Afternoon (12-16h)
ORD-20260002,Independent Pharmacy,4,Cool,15.0,Critical,84,Picking in Progress,09:04:46,Morning Peak (8-12h)
ORD-20260003,Primary Healthcare,6,Deep Frozen,16.9,Urgent,141,Pending Dispatch,09:03:49,Morning Peak (8-12h)
ORD-20260004,Primary Healthcare,7,Cool,14.9,Standard,88,Picking in Progress,09:12:20,Morning Peak (8-12h)
ORD-20260005,Primary Healthcare,5,Cool,5.5,Urgent,63,Pending Dispatch,13:48:01,Afternoon (12-16h)
ORD-20260006,Independent Pharmacy,4,Frozen,12.0,Urgent,33,Pending Dispatch,13:49:14,Afternoon (12-16h)
ORD-20260007,Primary Healthcare,8,Cool,5.3,Urgent,41,Pending Dispatch,13:21:45,Afternoon (12-16h)
ORD-20260008,Chain Pharmacy,1,Cold,15.7,Standard,57,Picking in Progress,02:53:11,Night (0-6h)
ORD-20260009,Chain Pharmacy,5,Cool,5.9,Urgent,55,Completed,09:29:38,Morning Peak (8-12h)
ORD-20260010,Primary Healthcare,10,Cool,9.6,Urgent,56,Completed,09:17:08,Morning Peak (8-12h)
ORD-20260011,Independent Pharmacy,1,Cool,10.7,Critical,104,Pending Dispatch,17:20:22,Evening Peak (16-20h)
ORD-20260012,Primary Healthcare,10,Deep Frozen,14.8,Urgent,35,Pending Dispatch,09:53:13,Morning Peak (8-12h)
ORD-20260013,Public Hospital,10,Deep Frozen,4.7,Critical,47,Pending Dispatch,06:06:51,Early (6-8h)
ORD-20260014,Public Hospital,2,Cold,11.9,Urgent,85,Pending Dispatch,09:11:03,Morning Peak (8-12h)
ORD-20260015,Chain Pharmacy,4,Cold,13.4,Standard,126,Pending Dispatch,13:40:28,Afternoon (12-16h)
ORD-20260016,Primary Healthcare,3,Cold,9.8,Urgent,39,Completed,06:25:12,Early (6-8h)
ORD-20260017,Independent Pharmacy,1,Cool,1.8,Critical,5,Completed,13:26:42,Afternoon (12-16h)
ORD-20260018,Chain Pharmacy,5,Cold,11.8,Urgent,17,Picking in Progress,02:21:35,Night (0-6h)
ORD-20260019,Chain Pharmacy,6,Ambient,19.4,Urgent,115,Pending Dispatch,17:11:01,Evening Peak (16-20h)
ORD-20260020,Independent Pharmacy,3,Deep Frozen,6.2,Urgent,124,Completed,17:39:20,Evening Peak (16-20h)
ORD-20260021,Public Hospital,1,Frozen,3.7,Critical,51,Picking in Progress,06:42:27,Early (6-8h)
ORD-20260022,Independent Pharmacy,10,Ambient,7.4,Urgent,40,Pending Dispatch,09:27:06,Morning Peak (8-12h)
ORD-20260023,Independent Pharmacy,7,Cool,4.4,Critical,5,Picking in Progress,06:34:36,Early (6-8h)
ORD-20260024,Primary Healthcare,5,Cold,4.7,Critical,68,Picking in Progress,13:57:52,Afternoon (12-16h)
ORD-20260025,Independent Pharmacy,6,Cool,3.6,Critical,77,Pending Dispatch,09:15:52,Morning Peak (8-12h)
ORD-20260026,Chain Pharmacy,4,Cool,10.1,Standard,54,Picking in Progress,09:16:24,Morning Peak (8-12h)
ORD-20260027,Independent Pharmacy,4,Cool,4.0,Critical,142,Completed,06:05:32,Early (6-8h)
ORD-20260028,Primary Healthcare,8,Cold,7.0,Urgent,104,Completed,21:57:58,Late (20-24h)
ORD-20260029,Independent Pharmacy,10,Deep Frozen,12.6,Standard,21,Completed,17:06:27,Evening Peak (16-20h)
ORD-20260030,Independent Pharmacy,9,Ambient,15.7,Critical,70,Pending Dispatch,13:16:42,Afternoon (12-16h)
