period,client_category,orders_fulfilled,orders_total,on_time_rate,next_day_rate,temp_compliance_rate,exception_rate
2026-01,Public Hospital,10580,10998,96.2,98.5,96.6,3.3
2026-01,Chain Pharmacy,15692,16910,92.8,94.5,95.6,3.9
2026-01,Independent Pharmacy,10867,11192,97.1,99.9,97.2,0.9
2026-01,Primary Healthcare,10689,11721,91.2,93.7,99.8,2.9
2026-02,Public Hospital,12444,12764,97.5,98.4,96.2,2.7
2026-02,Chain Pharmacy,11256,11713,96.1,98.4,97.6,2.7
2026-02,Independent Pharmacy,14503,15219,95.3,99.0,98.4,1.3
2026-02,Primary Healthcare,11920,13424,88.8,90.8,95.1,3.3
2026-03,Public Hospital,10078,10390,97.0,99.9,98.9,3.9
2026-03,Chain Pharmacy,10262,11047,92.9,94.8,96.4,4.0
2026-03,Independent Pharmacy,11799,13169,89.6,91.4,97.9,1.0
2026-03,Primary Healthcare,12901,13300,97.0,99.1,97.8,0.3
2026-04,Public Hospital,13781,14281,96.5,98.6,95.3,3.2
2026-04,Chain Pharmacy,22641,23758,95.3,98.9,99.3,1.8
2026-04,Independent Pharmacy,21664,23047,94.0,97.3,96.1,3.8
2026-04,Primary Healthcare,18858,20148,93.6,95.9,98.9,0.5
2026-05,Public Hospital,12145,12521,97.0,99.3,95.3,3.4
2026-05,Chain Pharmacy,15114,16028,94.3,95.5,99.5,3.6
2026-05,Independent Pharmacy,8409,9481,88.7,90.3,96.9,1.6
2026-05,Primary Healthcare,9862,10593,93.1,97.1,96.7,0.6
2026-06,Public Hospital,13358,14489,92.2,95.6,97.8,2.1
2026-06,Chain Pharmacy,18044,18507,97.5,99.1,99.0,2.5
2026-06,Independent Pharmacy,17415,19459,89.5,92.6,99.1,3.9
2026-06,Primary Healthcare,16536,17536,94.3,94.6,95.3,1.4
2026-07,Public Hospital,13038,14035,92.9,95.4,96.9,3.7
2026-07,Chain Pharmacy,11881,12653,93.9,96.3,96.3,0.9
2026-07,Independent Pharmacy,8809,9205,95.7,99.4,97.9,2.8
2026-07,Primary Healthcare,8283,8907,93.0,96.5,96.1,4.0
2026-08,Public Hospital,14242,14976,95.1,97.4,98.5,0.7
2026-08,Chain Pharmacy,15052,16505,91.2,93.2,99.9,3.6
2026-08,Independent Pharmacy,16847,17422,96.7,97.4,98.6,1.2
2026-08,Primary Healthcare,14713,16294,90.3,91.1,97.4,2.4
2026-09,Public Hospital,14340,15621,91.8,92.4,96.2,0.4
2026-09,Chain Pharmacy,20758,22862,90.8,94.4,97.4,3.0
2026-09,Independent Pharmacy,20401,21589,94.5,96.6,98.0,4.0
2026-09,Primary Healthcare,13440,15187,88.5,91.2,96.1,1.7
2026-10,Public Hospital,15743,16874,93.3,94.3,99.8,2.6
2026-10,Chain Pharmacy,14379,14779,97.3,99.3,99.4,2.5
2026-10,Independent Pharmacy,12351,12604,98.0,99.9,98.9,2.6
2026-10,Primary Healthcare,9549,10517,90.8,93.3,95.4,1.7
2026-11,Public Hospital,21381,22066,96.9,99.7,96.8,1.3
2026-11,Chain Pharmacy,13138,14664,89.6,90.1,99.3,1.0
2026-11,Independent Pharmacy,15534,15916,97.6,99.2,97.2,1.0
2026-11,Primary Healthcare,16141,17394,92.8,95.9,97.1,3.1
2026-12,Public Hospital,13799,15610,88.4,92.1,95.7,2.1
2026-12,Chain Pharmacy,16057,17416,92.2,95.6,95.9,2.2
2026-12,Independent Pharmacy,10920,11178,97.7,99.9,96.1,2.1
2026-12,Primary Healthcare,14736,15431,95.5,99.1,96.0,1.0
