customer_id,customer_type,province,city,urban_rural_flag,store_size,monthly_patient_volume,average_order_frequency_days,service_level_target,credit_tier,b2b_registered,active_status
CUST_00001,primary_healthcare,Jiangsu,Suzhou,urban,medium,6158,6,0.981,B,True,active
CUST_00002,independent_pharmacy,Shandong,Jinan,urban,small,193,28,0.902,C,True,active
CUST_00003,independent_pharmacy,Sichuan,Mianyang,rural,small,190,14,0.904,C,True,active
CUST_00004,public_hospital,Jiangsu,Wuxi,urban,medium,8624,18,0.952,B,True,active
CUST_00005,chain_pharmacy,Hubei,Yichang,rural,medium,1223,18,0.921,B,True,active
CUST_00006,chain_pharmacy,Guangdong,Shenzhen,rural,small,9780,24,0.926,C,True,active
CUST_00007,independent_pharmacy,Jiangsu,Suzhou,urban,medium,349,14,0.961,D,True,active
CUST_00008,independent_pharmacy,Zhejiang,Hangzhou,urban,medium,5605,13,0.948,A,True,active
CUST_00009,chain_pharmacy,Henan,Luoyang,rural,medium,4595,22,0.99,A,True,active
CUST_00010,public_hospital,Sichuan,Chengdu,urban,small,758,21,0.959,C,True,active
CUST_00011,independent_pharmacy,Zhejiang,Ningbo,rural,small,163,28,0.935,C,True,active
CUST_00012,independent_pharmacy,Shandong,Qingdao,rural,medium,2242,5,0.987,A,True,active
CUST_00013,independent_pharmacy,Shandong,Jinan,urban,small,165,26,0.925,B,True,active
CUST_00014,primary_healthcare,Guangdong,Dongguan,urban,medium,1876,7,0.921,A,True,active
CUST_00015,independent_pharmacy,Guangdong,Dongguan,urban,small,210,12,0.903,A,True,active
CUST_00016,independent_pharmacy,Guangdong,Dongguan,urban,small,1305,21,0.905,B,True,active
CUST_00017,independent_pharmacy,Henan,Zhengzhou,urban,small,231,15,0.971,C,True,active
CUST_00018,independent_pharmacy,Shandong,Yantai,urban,small,1236,11,0.954,B,True,inactive
CUST_00019,independent_pharmacy,Guangdong,Dongguan,rural,small,166,28,0.906,C,True,active
CUST_00020,primary_healthcare,Jiangsu,Suzhou,urban,medium,6666,9,0.965,C,True,active
CUST_00021,chain_pharmacy,Hubei,Yichang,urban,medium,1164,13,0.945,C,True,active
CUST_00022,public_hospital,Zhejiang,Ningbo,urban,medium,4102,23,0.979,C,True,active
