inventory_id,warehouse_id,bin_id,sku_id,batch_id,manufacture_date,expiry_date,received_date,quantity_available,quantity_reserved,quality_status,days_to_expiry
INV_0000001,WH_004,WH_004_COOL_045,SKU_00525,BATCH_0000001,2025-04-12,2026-09-18,2025-04-23,88,13,good,114
INV_0000002,WH_015,WH_015_COLD_017,SKU_01997,BATCH_0000002,2026-04-28,2026-08-17,2026-05-02,45,0,good,82
INV_0000003,WH_023,WH_023_AMBIENT_008,SKU_00328,BATCH_0000003,2024-04-15,2026-10-31,2024-04-26,48,0,good,157
INV_0000004,WH_022,WH_022_AMBIENT_145,SKU_00722,BATCH_0000004,2025-04-01,2027-01-26,2025-04-14,66,0,good,244
INV_0000005,WH_014,WH_014_AMBIENT_082,SKU_01118,BATCH_0000005,2026-04-01,2027-04-01,2026-04-02,9,0,good,309
INV_0000006,WH_020,WH_020_AMBIENT_180,SKU_00143,BATCH_0000006,2025-12-11,2026-12-11,2025-12-18,5,0,good,198
INV_0000007,WH_001,WH_001_COOL_052,SKU_01849,BATCH_0000007,2024-09-25,2026-09-25,2024-10-08,39,4,good,121
INV_0000008,WH_012,WH_012_AMBIENT_185,SKU_01505,BATCH_0000008,2026-01-07,2028-04-11,2026-01-19,49,0,good,685
INV_0000009,WH_011,WH_011_AMBIENT_139,SKU_00883,BATCH_0000009,2025-01-02,2027-09-26,2025-01-11,28,0,good,487
INV_0000010,WH_008,WH_008_FROZEN_134,SKU_01592,BATCH_0000010,2025-11-02,2027-07-21,2025-11-07,3,0,good,420
INV_0000011,WH_019,WH_019_AMBIENT_200,SKU_00822,BATCH_0000011,2024-08-18,2027-03-04,2024-08-22,15,0,good,281
INV_0000012,WH_008,WH_008_FROZEN_103,SKU_01875,BATCH_0000012,2026-03-19,2027-01-03,2026-03-27,18,0,good,221
INV_0000013,WH_006,WH_006_AMBIENT_194,SKU_01052,BATCH_0000013,2025-07-29,2027-01-23,2025-08-06,1,0,good,241
INV_0000014,WH_004,WH_004_AMBIENT_013,SKU_02106,BATCH_0000014,2026-05-21,2028-04-08,2026-05-31,22,0,good,682
INV_0000015,WH_023,WH_023_COOL_083,SKU_02748,BATCH_0000015,2025-11-04,2027-11-04,2025-11-09,16,1,good,526
INV_0000016,WH_008,WH_008_COOL_191,SKU_02657,BATCH_0000016,2025-03-27,2026-07-21,2025-04-09,7,0,good,55
INV_0000017,WH_006,WH_006_AMBIENT_137,SKU_00923,BATCH_0000017,2025-12-19,2027-12-29,2025-12-29,6,0,good,581
INV_0000018,WH_002,WH_002_AMBIENT_152,SKU_01603,BATCH_0000018,2025-09-04,2027-05-24,2025-09-13,4,0,good,362
INV_0000019,WH_008,WH_008_AMBIENT_005,SKU_00152,BATCH_0000019,2026-03-27,2027-11-17,2026-04-09,15,0,good,539
INV_0000020,WH_012,WH_012_AMBIENT_162,SKU_01711,BATCH_0000020,2024-09-03,2026-12-02,2024-09-08,118,0,good,189
INV_0000021,WH_004,WH_004_COOL_176,SKU_00087,BATCH_0000021,2025-02-27,2027-02-27,2025-03-03,10,0,good,276
INV_0000022,WH_025,WH_025_AMBIENT_177,SKU_00852,BATCH_0000022,2024-05-17,2027-02-11,2024-05-20,11,0,good,260
INV_0000023,WH_020,WH_020_AMBIENT_143,SKU_02342,BATCH_0000023,2024-03-03,2026-10-13,2024-03-05,50,0,good,139
INV_0000024,WH_026,WH_026_COLD_113,SKU_02118,BATCH_0000024,2026-05-13,2027-05-13,2026-05-16,86,18,good,351
INV_0000025,WH_021,WH_021_COOL_104,SKU_00739,BATCH_0000025,2025-03-22,2027-03-22,2025-04-03,2,0,good,299
INV_0000026,WH_029,WH_029_FROZEN_005,SKU_00192,BATCH_0000026,2026-05-06,2027-01-03,2026-05-07,6,0,good,221
INV_0000027,WH_027,WH_027_COOL_102,SKU_01261,BATCH_0000027,2026-01-06,2028-01-06,2026-01-07,99,24,good,589
INV_0000028,WH_028,WH_028_AMBIENT_076,SKU_02156,BATCH_0000028,2025-08-14,2026-08-14,2025-08-25,41,0,good,79
INV_0000029,WH_029,WH_029_COOL_182,SKU_02941,BATCH_0000029,2025-12-15,2027-02-18,2025-12-26,10,0,good,267
INV_0000030,WH_001,WH_001_AMBIENT_022,SKU_01463,BATCH_0000030,2026-03-14,2027-03-14,2026-03-22,10,2,good,291
