order_line_id,order_id,sku_id,quantity_ordered,special_handling_required,substitution_allowed
OL_000000001,ORD_0000001,SKU_02973,5,False,False
OL_000000002,ORD_0000001,SKU_02749,2,False,False
OL_000000003,ORD_0000001,SKU_02585,1,False,False
OL_000000004,ORD_0000002,SKU_02179,10,False,True
OL_000000005,ORD_0000003,SKU_00261,4,False,True
OL_000000006,ORD_0000003,SKU_02176,1,False,True
OL_000000007,ORD_0000003,SKU_02601,2,False,False
OL_000000008,ORD_0000004,SKU_00306,12,False,False
OL_000000009,ORD_0000004,SKU_02073,5,False,False
OL_000000010,ORD_0000004,SKU_01246,6,False,False
OL_000000011,ORD_0000004,SKU_01288,11,False,True
OL_000000012,ORD_0000005,SKU_02674,2,True,False
OL_000000013,ORD_0000005,SKU_01775,1,True,False
OL_000000014,ORD_0000005,SKU_02134,10,True,False
OL_000000015,ORD_0000006,SKU_01084,4,False,False
OL_000000016,ORD_0000006,SKU_02522,8,False,False
OL_000000017,ORD_0000006,SKU_01333,7,False,False
OL_000000018,ORD_0000006,SKU_02622,6,False,False
OL_000000019,ORD_0000007,SKU_00326,14,True,False
OL_000000020,ORD_0000007,SKU_01863,4,False,False
OL_000000021,ORD_0000007,SKU_00894,3,True,False
OL_000000022,ORD_0000007,SKU_02051,19,False,True
OL_000000023,ORD_0000007,SKU_02941,27,False,False
OL_000000024,ORD_0000008,SKU_00090,6,True,False
OL_000000025,ORD_0000008,SKU_01128,2,False,False
OL_000000026,ORD_0000008,SKU_02595,1,False,False
OL_000000027,ORD_0000008,SKU_02069,1,True,False
OL_000000028,ORD_0000009,SKU_02772,4,False,True
OL_000000029,ORD_0000009,SKU_01120,5,False,True
OL_000000030,ORD_0000009,SKU_00803,3,False,False
OL_000000031,ORD_0000010,SKU_01312,1,False,False
OL_000000032,ORD_0000010,SKU_02899,5,True,False
OL_000000033,ORD_0000010,SKU_00510,6,False,False
OL_000000034,ORD_0000011,SKU_02741,1,False,False
OL_000000035,ORD_0000012,SKU_01282,2,False,False
OL_000000036,ORD_0000012,SKU_01017,8,True,True
OL_000000037,ORD_0000012,SKU_01421,10,True,True
OL_000000038,ORD_0000012,SKU_01515,1,False,True
OL_000000039,ORD_0000012,SKU_01295,1,True,True
OL_000000040,ORD_0000013,SKU_00106,4,True,False
OL_000000041,ORD_0000013,SKU_00444,3,False,False
OL_000000042,ORD_0000014,SKU_01444,2,False,False
OL_000000043,ORD_0000014,SKU_00095,2,False,False
OL_000000044,ORD_0000014,SKU_01325,2,False,False
OL_000000045,ORD_0000014,SKU_00610,3,False,False
OL_000000046,ORD_0000014,SKU_02440,5,False,False
OL_000000047,ORD_0000015,SKU_00466,8,True,True
OL_000000048,ORD_0000015,SKU_01869,6,True,True
OL_000000049,ORD_0000015,SKU_02243,11,False,False
OL_000000050,ORD_0000015,SKU_02907,9,True,False
OL_000000051,ORD_0000015,SKU_02271,6,False,False
OL_000000052,ORD_0000016,SKU_00371,28,False,True
OL_000000053,ORD_0000016,SKU_02091,29,True,False
OL_000000054,ORD_0000016,SKU_02311,3,False,True
OL_000000055,ORD_0000016,SKU_02222,7,False,False
OL_000000056,ORD_0000016,SKU_01137,6,False,False
OL_000000057,ORD_0000017,SKU_00695,1,True,False
OL_000000058,ORD_0000017,SKU_01036,6,False,True
OL_000000059,ORD_0000017,SKU_00930,13,False,False
OL_000000060,ORD_0000017,SKU_02379,1,False,False
OL_000000061,ORD_0000017,SKU_02382,6,True,False
OL_000000062,ORD_0000018,SKU_01109,2,False,False
OL_000000063,ORD_0000018,SKU_02828,7,False,False
OL_000000064,ORD_0000018,SKU_00893,4,False,False
OL_000000065,ORD_0000018,SKU_00736,13,False,True
OL_000000066,ORD_0000019,SKU_01155,10,False,False
OL_000000067,ORD_0000019,SKU_02774,1,False,False
OL_000000068,ORD_0000019,SKU_01393,1,False,False
OL_000000069,ORD_0000020,SKU_00044,22,False,False
OL_000000070,ORD_0000020,SKU_00671,56,False,False
OL_000000071,ORD_0000020,SKU_00568,21,False,False
OL_000000072,ORD_0000020,SKU_00117,11,False,True
OL_000000073,ORD_0000020,SKU_00345,114,False,False
OL_000000074,ORD_0000021,SKU_01935,5,False,False
OL_000000075,ORD_0000021,SKU_01196,3,False,False
OL_000000076,ORD_0000022,SKU_00194,3,False,False
