order_id,customer_id,warehouse_id,order_datetime,required_delivery_date,province,city,priority_level,order_status
ORD_0000001,CUST_00884,WH_013,2026-01-10 07:44:00,2026-01-11,Sichuan,Mianyang,high,picked
ORD_0000002,CUST_00882,WH_018,2026-01-10 07:01:00,2026-01-12,Hubei,Xiangyang,normal,picked
ORD_0000003,CUST_01722,WH_009,2026-01-10 15:28:00,2026-01-11,Shandong,Jinan,normal,picking
ORD_0000004,CUST_01765,WH_008,2026-01-10 06:28:00,2026-01-11,Hubei,Xiangyang,normal,picked
ORD_0000005,CUST_01731,WH_015,2026-01-10 21:40:00,2026-01-11,Zhejiang,Ningbo,normal,pending
ORD_0000006,CUST_00823,WH_012,2026-01-10 07:24:00,2026-01-11,Zhejiang,Hangzhou,normal,delivered
ORD_0000007,CUST_00010,WH_005,2026-01-10 06:13:00,2026-01-11,Sichuan,Chengdu,normal,dispatched
ORD_0000008,CUST_00907,WH_026,2026-01-10 16:58:00,2026-01-11,Guangdong,Dongguan,high,pending
ORD_0000009,CUST_01520,WH_001,2026-01-10 21:58:00,2026-01-11,Zhejiang,Ningbo,high,picked
ORD_0000010,CUST_00741,WH_026,2026-01-10 14:55:00,2026-01-11,Hubei,Yichang,normal,pending
ORD_0000011,CUST_01124,WH_018,2026-01-10 10:48:00,2026-01-11,Jiangsu,Nanjing,high,picked
ORD_0000012,CUST_00091,WH_017,2026-01-10 11:16:00,2026-01-11,Henan,Kaifeng,normal,picked
ORD_0000013,CUST_00654,WH_009,2026-01-10 11:41:00,2026-01-11,Zhejiang,Hangzhou,high,picked
ORD_0000014,CUST_01895,WH_030,2026-01-10 15:07:00,2026-01-11,Guangdong,Guangzhou,normal,dispatched
ORD_0000015,CUST_01054,WH_010,2026-01-10 07:17:00,2026-01-11,Zhejiang,Hangzhou,high,delivered
ORD_0000016,CUST_00747,WH_028,2026-01-10 21:54:00,2026-01-11,Zhejiang,Wenzhou,high,picked
ORD_0000017,CUST_01536,WH_018,2026-01-10 16:41:00,2026-01-11,Henan,Kaifeng,normal,delivered
ORD_0000018,CUST_01737,WH_006,2026-01-10 10:06:00,2026-01-11,Zhejiang,Wenzhou,normal,delivered
ORD_0000019,CUST_00957,WH_025,2026-01-10 17:24:00,2026-01-11,Hubei,Xiangyang,normal,picked
ORD_0000020,CUST_00022,WH_023,2026-01-10 11:03:00,2026-01-11,Zhejiang,Ningbo,high,pending
ORD_0000021,CUST_01811,WH_004,2026-01-10 21:33:00,2026-01-11,Guangdong,Shenzhen,normal,picked
ORD_0000022,CUST_00881,WH_020,2026-01-10 19:17:00,2026-01-11,Sichuan,Deyang,high,delivered
ORD_0000023,CUST_01786,WH_011,2026-01-10 14:43:00,2026-01-11,Jiangsu,Wuxi,normal,picked
ORD_0000024,CUST_00667,WH_028,2026-01-10 08:48:00,2026-01-11,Zhejiang,Ningbo,normal,dispatched
ORD_0000025,CUST_00826,WH_007,2026-01-10 11:29:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000026,CUST_01701,WH_011,2026-01-10 16:19:00,2026-01-11,Zhejiang,Ningbo,normal,delivered
ORD_0000027,CUST_00587,WH_011,2026-01-10 09:54:00,2026-01-11,Jiangsu,Suzhou,high,dispatched
ORD_0000028,CUST_01922,WH_026,2026-01-10 20:48:00,2026-01-11,Guangdong,Dongguan,high,picked
ORD_0000029,CUST_00820,WH_002,2026-01-10 20:15:00,2026-01-11,Sichuan,Deyang,high,delivered
ORD_0000030,CUST_00411,WH_010,2026-01-10 15:20:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000031,CUST_01716,WH_007,2026-01-10 21:19:00,2026-01-11,Hubei,Wuhan,normal,delivered
ORD_0000032,CUST_01841,WH_023,2026-01-10 06:14:00,2026-01-11,Sichuan,Deyang,high,delivered
ORD_0000033,CUST_00501,WH_012,2026-01-10 16:58:00,2026-01-11,Jiangsu,Nanjing,normal,pending
ORD_0000034,CUST_00433,WH_001,2026-01-10 16:50:00,2026-01-12,Sichuan,Deyang,normal,picked
ORD_0000035,CUST_00368,WH_018,2026-01-10 15:17:00,2026-01-11,Guangdong,Shenzhen,normal,pending
ORD_0000036,CUST_01828,WH_025,2026-01-10 19:26:00,2026-01-11,Hubei,Wuhan,normal,picking
ORD_0000037,CUST_00379,WH_004,2026-01-10 16:03:00,2026-01-11,Hubei,Wuhan,normal,dispatched
ORD_0000038,CUST_01975,WH_018,2026-01-10 19:38:00,2026-01-11,Hubei,Yichang,normal,delivered
ORD_0000039,CUST_01629,WH_007,2026-01-10 07:38:00,2026-01-11,Guangdong,Dongguan,normal,picked
ORD_0000040,CUST_00642,WH_013,2026-01-10 21:41:00,2026-01-11,Shandong,Qingdao,normal,dispatched
