sku_id,category,storage_temperature,shelf_life_days,unit_price_rmb,abc_class,near_expiry_managed,batch_tracking_required,hazardous_or_controlled_flag,unit_volume_liters,unit_weight_kg,manufacturer_id
SKU_00001,Western_Medicine,ambient,579,41.72,C,False,True,False,1.639,0.496,MFG_062
SKU_00002,TCM,cool,730,2.6,C,True,False,False,0.399,1.359,MFG_087
SKU_00003,Medical_Devices,cool,730,6.25,B,True,False,False,1.658,1.133,MFG_094
SKU_00004,Health_Supplements,ambient,523,47.02,A,False,True,False,0.072,1.119,MFG_082
SKU_00005,Medical_Devices,ambient,772,24.71,C,True,True,False,0.761,0.977,MFG_097
SKU_00006,TCM,cool,730,38.34,C,True,True,False,1.159,0.054,MFG_092
SKU_00007,TCM,frozen,193,3.62,C,True,True,False,1.264,0.075,MFG_063
SKU_00008,TCM,ambient,365,8.76,C,False,True,False,1.764,0.803,MFG_020
SKU_00009,Medical_Devices,ambient,744,3.02,C,False,True,False,0.603,0.284,MFG_051
SKU_00010,Medical_Devices,cool,730,81.53,C,False,False,False,0.223,0.071,MFG_061
SKU_00011,Western_Medicine,cool,730,1.39,C,True,False,False,1.808,0.445,MFG_069
SKU_00012,Health_Supplements,ambient,365,9.29,C,False,False,False,0.461,0.012,MFG_021
SKU_00013,TCM,ambient,1029,2.23,C,True,False,False,0.64,0.638,MFG_060
SKU_00014,TCM,cold,361,91.44,B,False,True,False,1.041,0.964,MFG_070
SKU_00015,TCM,cool,628,13.34,B,False,False,False,1.681,0.706,MFG_054
SKU_00016,TCM,cool,525,2.57,B,False,True,False,0.945,1.386,MFG_037
SKU_00017,Western_Medicine,ambient,705,4.94,A,False,False,False,0.757,1.347,MFG_095
SKU_00018,Western_Medicine,ambient,487,3.17,B,False,True,True,1.299,1.402,MFG_022
SKU_00019,Medical_Devices,ambient,1019,1.45,C,True,False,False,0.773,1.445,MFG_003
SKU_00020,Western_Medicine,cool,618,119.43,C,True,False,False,1.229,0.045,MFG_021
SKU_00021,Western_Medicine,cool,292,14.62,C,True,False,False,0.83,0.559,MFG_098
SKU_00022,Western_Medicine,ambient,801,19.9,A,False,True,True,0.209,1.064,MFG_016
SKU_00023,Medical_Devices,cool,730,1.96,A,True,True,False,1.099,0.592,MFG_046
SKU_00024,TCM,ambient,640,75.11,C,False,True,False,0.229,0.244,MFG_030
SKU_00025,Western_Medicine,ambient,365,89.67,A,True,True,False,0.739,1.15,MFG_082
SKU_00026,Medical_Devices,ambient,575,2.12,B,False,False,False,0.976,1.06,MFG_095
SKU_00027,Western_Medicine,ambient,621,4.96,C,True,False,False,0.231,1.445,MFG_047
SKU_00028,Western_Medicine,ambient,503,39.86,B,False,False,False,1.783,0.72,MFG_062
SKU_00029,Medical_Devices,cold,365,45.65,C,True,True,False,0.648,0.939,MFG_087
SKU_00030,Western_Medicine,ambient,863,99.39,B,False,False,False,1.153,1.455,MFG_093
SKU_00031,Medical_Devices,cool,562,26.01,A,False,True,False,0.955,0.102,MFG_050
SKU_00032,Medical_Devices,frozen,255,4.31,C,False,True,False,1.532,0.342,MFG_022
SKU_00033,TCM,cool,431,12.28,B,True,False,False,1.462,0.122,MFG_084
SKU_00034,Western_Medicine,ambient,421,15.78,B,True,True,False,1.085,1.076,MFG_013
SKU_00035,TCM,cold,157,124.03,C,False,True,True,1.39,0.959,MFG_063
SKU_00036,TCM,ambient,458,30.21,C,True,True,False,1.388,0.991,MFG_026
SKU_00037,Western_Medicine,cold,365,33.22,B,True,True,False,1.523,0.183,MFG_038
SKU_00038,Medical_Devices,cool,636,15.69,C,False,True,True,0.394,0.43,MFG_060
SKU_00039,TCM,cold,365,4.22,B,False,True,False,0.897,1.335,MFG_043
SKU_00040,Medical_Devices,cold,137,220.85,C,False,True,False,1.937,1.352,MFG_047
SKU_00041,TCM,cool,546,32.83,C,False,False,False,0.249,1.208,MFG_009
SKU_00042,Medical_Devices,cool,509,46.23,B,True,True,False,1.544,0.678,MFG_021
SKU_00043,Western_Medicine,cool,730,13.05,B,True,False,False,1.968,1.457,MFG_003
SKU_00044,TCM,cool,682,20.83,C,False,True,False,0.669,0.153,MFG_005
SKU_00045,TCM,cold,365,38.16,C,True,True,False,1.302,1.152,MFG_005
SKU_00046,Western_Medicine,ambient,365,102.52,C,False,True,False,0.628,1.287,MFG_036
SKU_00047,Health_Supplements,cold,325,28.92,C,False,True,False,0.679,0.248,MFG_093
SKU_00048,TCM,ambient,444,6.17,C,False,True,False,0.462,0.173,MFG_002
SKU_00049,Medical_Devices,ambient,412,4.23,C,False,False,False,0.136,1.453,MFG_027
