warehouse_id,province,city,warehouse_type,total_area_sqm,ambient_zone_bins,cool_zone_bins,cold_zone_bins,frozen_zone_bins,controlled_zone_bins,max_capacity_units,active_pickers,peak_picker_capacity,next_day_delivery_rate_pct,daily_order_capacity
WH_001,Shandong,Yantai,regional,42540,7347,2774,2483,244,392,454713,56,231,89.4,11577
WH_002,Jiangsu,Nanjing,regional,26891,3727,1602,1490,184,202,257492,73,202,89.9,12681
WH_003,Guangdong,Dongguan,regional,32364,4657,2038,2450,387,239,315857,98,141,94.5,13409
WH_004,Shandong,Yantai,central,26605,4230,1816,2231,199,208,245737,69,251,89.5,8788
WH_005,Zhejiang,Ningbo,central,21485,2934,1917,996,439,187,206027,66,152,94.8,13251
WH_006,Shandong,Jinan,regional,20700,2819,1499,1462,311,185,173042,94,200,95.1,12876
WH_007,Guangdong,Shenzhen,regional,19849,2809,1501,1108,182,187,169587,91,197,90.5,12107
WH_008,Shandong,Jinan,central,21219,2737,1581,1181,376,196,183190,92,236,94.7,11892
WH_009,Shandong,Jinan,regional,46388,8149,2991,1846,354,547,520089,52,224,90.9,12038
WH_010,Zhejiang,Ningbo,central,35523,4863,2965,2506,324,253,371717,51,134,90.9,13593
WH_011,Guangdong,Dongguan,regional,45175,7843,2629,2307,409,540,492481,90,142,94.2,13785
WH_012,Guangdong,Dongguan,regional,20986,2896,1493,961,247,187,179066,80,262,92.9,11015
WH_013,Jiangsu,Nanjing,regional,37414,5977,1694,1135,185,337,416345,92,239,90.1,10511
WH_014,Shandong,Yantai,regional,42854,7583,2603,2529,394,409,453373,83,226,92.4,11209
WH_015,Jiangsu,Wuxi,central,23471,4046,1948,1745,374,201,236295,100,133,95.1,12838
WH_016,Shandong,Yantai,central,18466,2600,1509,881,283,184,154257,86,224,93.4,12298
WH_017,Guangdong,Shenzhen,regional,33012,5151,1896,2249,444,260,327279,99,237,94.8,10185
WH_018,Guangdong,Dongguan,regional,22075,2876,1618,1090,321,203,197846,88,140,94.8,13785
WH_019,Guangdong,Dongguan,regional,39244,5795,2772,2490,388,371,399243,61,212,91.4,12744
WH_020,Henan,Luoyang,regional,45329,8089,1766,2339,179,459,476132,64,258,89.2,11634
WH_021,Jiangsu,Nanjing,central,23806,3369,1726,1280,239,193,232668,74,133,93.8,13729
WH_022,Henan,Zhengzhou,regional,35709,5024,1758,1920,299,261,362176,91,216,93.4,12906
WH_023,Zhejiang,Hangzhou,regional,35309,5460,1785,2018,218,252,358916,76,211,91.2,12432
WH_024,Henan,Zhengzhou,regional,37989,6041,2411,2008,356,385,430834,103,135,94.5,12475
WH_025,Jiangsu,Nanjing,central,21255,2993,1661,2140,191,186,178704,59,233,89.4,10743
WH_026,Shandong,Yantai,central,28836,3547,1953,1049,393,230,324594,100,133,95.5,13729
WH_027,Guangdong,Shenzhen,regional,41832,6385,2400,1988,347,388,452789,77,163,93.2,13660
WH_028,Zhejiang,Hangzhou,regional,40146,6399,2189,2283,396,357,431410,100,147,94.8,13144
WH_029,Henan,Zhengzhou,regional,33525,5454,2135,1763,266,288,363499,91,134,93.0,13688
WH_030,Zhejiang,Hangzhou,central,40506,5435,2433,2465,299,327,414449,65,217,91.3,12280
